"Call Tree - Method";"Time [%]";"Time";"Invocations";
"              Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0154899545";"827";"25"
"              Self time";"0.0015358842";"82";"25"
"             Self time";"0.007791803";"416";"1"
"            Self time";"0.029818632";"1592";"1"
"           Utils.SubClassFinder.<init>()";"1.1282942";"60239";"1"
"            Utils.SubClassFinder.refreshLocations()";"1.1260654";"60120";"1"
"             Utils.SubClassFinder.getClasspathLocations()";"1.1259342";"60113";"1"
"              Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"1.1212704";"59864";"1"
"               Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.5818754";"31066";"6"
"                Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.3341672";"17841";"2"
"                 Utils.SubClassFinder$1.accept(java.io.File)";"0.19653699";"10493";"94"
"                 Self time";"0.10957223";"5850";"2"
"                 Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.024892563";"1329";"1"
"                  Utils.SubClassFinder$1.accept(java.io.File)";"0.014946776";"798";"7"
"                  Self time";"0.009927057";"530";"1"
"                 Utils.SubClassFinder$2.compare(Object, Object)";"0.0031466896";"168";"4"
"                  Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0029593867";"158";"4"
"                  Self time";"1.6857266E-4";"9";"4"
"                Self time";"0.17906162";"9560";"6"
"                Utils.SubClassFinder$1.accept(java.io.File)";"0.06452587";"3445";"31"
"                Utils.SubClassFinder$2.compare(Object, Object)";"0.004101935";"219";"5"
"                 Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0037835198";"202";"5"
"                 Self time";"2.9968473E-4";"16";"5"
"               Self time";"0.5156263";"27529";"1"
"               Utils.SubClassFinder$2.compare(Object, Object)";"0.01204358";"643";"14"
"                Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.010975953";"586";"14"
"                Self time";"0.0010488966";"56";"14"
"               Utils.SubClassFinder$1.accept(java.io.File)";"0.011706435";"625";"6"
"              Self time";"0.0046638437";"249";"1"
"             Self time";"1.3111207E-4";"7";"1"
"            Self time";"0.0022289052";"119";"1"
"           Utils.SubClassFinder.<clinit>";"0.096404836";"5147";"1"
"            Self time";"0.09582419";"5116";"1"
"            Utils.SubClassFinder$1.<init>()";"1.6857266E-4";"9";"1"
"            Utils.SubClassFinder$3.<init>()";"1.6857266E-4";"9";"1"
